Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
9.02,BANO Massimo,PM,2002,PD146 ATLETICA LIB. S.A.N.P.,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
9.25,FRAGIACOMO Jan,SM,2000,TN131 LAGARINA CRUS TEAM,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
9.31,ARTUSO Amos,PM,2004,VI614 GRUPPO ATLETICO BASSANO 1948,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.2,BRESOLIN Manuel,PM,2004,TV354 TREVISATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.29,COREN Simone,PM,2003,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.34,CECCHET Nicolas,PM,2003,BL009 ATHLETIC CLUB FIREX BELLUNO,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.48,ZAMPESE Giacomo,SM,2000,VE471 ASD ATLETICA BIOTEKNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.48,DE PAOLI Federico,PM,2002,BL012 ANA ATL.FELTRE,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.59,DAL POZZO Mattia,PM,2003,VE471 ASD ATLETICA BIOTEKNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
8.74,BANO Massimo,PM,2002,PD146 ATLETICA LIB. S.A.N.P.,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
9.11,FRAGIACOMO Jan,SM,2000,TN131 LAGARINA CRUS TEAM,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
9.19,ARTUSO Amos,PM,2004,VI614 GRUPPO ATLETICO BASSANO 1948,60Hs H106,https://www.fidal.it/risultati/2024/REG33839/Risultati/Gara222.html
7.92,TRGOVCEVIC Luca,SM,1992,SRB SERBIA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
7.97,GIACALONE Nicolo',SM,1997,VE471 ASD ATLETICA BIOTEKNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8.03,GHEDINA Vittorio,PM,2004,MI770 ATLETICA MENEGHINA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8.05,DENTATO Damiano,PM,2004,RI223 ATL.STUD. RIETI ANDREA MILARDI,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8.11,DI PANFILO Mattia,SM,1999,RM363 SSD NISSOLINO SPORT SRL ASU,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8.27,ROSSI Ernesto,PM,2004,TR024 ASS.ATL.LIBERTAS ORVIETO,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8.55,CIOCCOLONI Claudio,SM,1996,RM555 A.S.D. ATLETICA FUTURA ROMA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8.56,SARGENTI Andrea,SM,1994,TR024 ASS.ATL.LIBERTAS ORVIETO,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8.75,DI NOLA Salvatore,JM,2006,RM363 SSD NISSOLINO SPORT SRL ASU,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
9.07,TIRABOSCHI Cristiano,PM,2004,BG795 BERGAMO STARS ATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
7.86,TRGOVCEVIC Luca,SM,1992,SRB SERBIA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
7.94,GIACALONE Nicolo',SM,1997,VE471 ASD ATLETICA BIOTEKNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
7.97,GHEDINA Vittorio,PM,2004,MI770 ATLETICA MENEGHINA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
7.99,DENTATO Damiano,PM,2004,RI223 ATL.STUD. RIETI ANDREA MILARDI,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8.23,ROSSI Ernesto,PM,2004,TR024 ASS.ATL.LIBERTAS ORVIETO,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
8.65,SARGENTI Andrea,SM,1994,TR024 ASS.ATL.LIBERTAS ORVIETO,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
9.27,CIOCCOLONI Claudio,SM,1996,RM555 A.S.D. ATLETICA FUTURA ROMA,60Hs H106,https://www.fidal.it/risultati/2024/REG33666/Risultati/Gara020.html
9.37,MARCONE Andrea,PM,2004.0,NA061 A.S.D. C.U.S. NAPOLI,60Hs H106,https://www.fidal.it/risultati/2024/REG34127/Gara020.htm
8.22,MULAS Oliver,PM,2004.0,IM029 ASD MAURINA OLIO CARLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.41,BRINI Michele,SM,1998.0,BO014 ATL. IMOLA SACMI AVIS,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.44,POUYE Mouhamed,PM,2003.0,MO052 A.S. LA FRATELLANZA 1874,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.67,GOBBI Alessandro,PM,2003.0,TN109 U.S. QUERCIA DAO CONAD,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.71,MAZZANTI Andrea,SM,1993.0,BO014 ATL. IMOLA SACMI AVIS,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.59,PATERNI Mattia,PM,2002.0,LU100 A.S. ATLETICA VIRTUS LUCCA,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.74,BINI Lorenzo,PM,2002.0,FI018 TOSCANA ATLETICA JOLLY,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.84,PORCU Leonardo,PM,2002.0,MI080 ATL. RICCARDI MILANO 1946,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.88,TESI Lorenzo,PM,2004.0,PO149 ASD ATLETICA PRATO,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
9.4,AVANZINI Giacomo,SM,2001.0,PR068 C.U.S. PARMA,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.18,MULAS Oliver,PM,2004.0,IM029 ASD MAURINA OLIO CARLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.35,POUYE Mouhamed,PM,2003.0,MO052 A.S. LA FRATELLANZA 1874,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.6,BRINI Michele,SM,1998.0,BO014 ATL. IMOLA SACMI AVIS,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.64,MAZZANTI Andrea,SM,1993.0,BO014 ATL. IMOLA SACMI AVIS,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.78,PATERNI Mattia,PM,2002.0,LU100 A.S. ATLETICA VIRTUS LUCCA,60Hs H106,https://www.fidal.it/risultati/2024/REG33593/Gara020.htm
8.33,ADORNI Gabriele,PM,2002,LI035 ATL.LIBERTAS UNICUSANO LIVORNO,60Hs H106,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
8.74,ARCILASCO Flavio guido,PM,2004,TO226 SAFATLETICA PIEMONTE ASD,60Hs H106,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
9.40,ROCCO Mattia,SM,2001,CN005 ATL. MONDOVI'-ACQUA S.BERNARDO,60Hs H106,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
11.67,MATTONE Andrea,SM,1995,NO020 TEAM ATLETICO-MERCURIO NOVARA,60Hs H106,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
8.34,ADORNI Gabriele,PM,2002,LI035 ATL.LIBERTAS UNICUSANO LIVORNO,60Hs H106,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
8.63,ARCILASCO Flavio guido,PM,2004,TO226 SAFATLETICA PIEMONTE ASD,60Hs H106,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
9.27,ROCCO Mattia,SM,2001,CN005 ATL. MONDOVI'-ACQUA S.BERNARDO,60Hs H106,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
11.57,MATTONE Andrea,SM,1995,NO020 TEAM ATLETICO-MERCURIO NOVARA,60Hs H106,https://www.fidal.it/risultati/2024/REG33858/Risultati/Gara120.html
8.75,CABRAS Maurizio,PM,2004.0,OR030 SS ATL ORISTANO,60Hs H106,https://www.fidal.it/risultati/2024/REG33752/Gara008.htm
8.39,CABRAS Maurizio,PM,2004.0,OR030 SS ATL ORISTANO,60Hs H106,https://www.fidal.it/risultati/2024/REG33752/Gara020.htm
9.26,LIN Luca,PM,2003.0,OR225 DINAMICA SARDEGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33752/Gara020.htm
9.27,IRRERA Lorenzo,SM,1998,RM046 ASD ACSI ATLETICA CAMPIDOGLIO,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
9.31,MORIGI Lorenzo,SM,2000,BO506 A.S.D. PONTEVECCHIO BOLOGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
10.11,RIBERI Alberto,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
8.6,CERRATO Andrea,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
8.85,PANCALDI Emanuele,PM,2004,BO506 A.S.D. PONTEVECCHIO BOLOGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
8.88,MENGHI NDIAYE Yoro,PM,2002,MO052 A.S. LA FRATELLANZA 1874,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
9.23,DEMICHELIS Simone,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
9.31,ZOZZI Giacomo,PM,2004,FC038 EDERA ATL. FORLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
10.16,SHENELENKO Onysym,SM,1994,PE001 ASD U.S. ATERNO PESCARA,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
8.60,CERRATO Andrea,SM,1999,CN001 A.S.D. ATL. FOSSANO '75,60Hs H106,https://www.fidal.it/risultati/2024/REG33668/Risultati/Gara205.html
7.92,TOGNI Matteo,JM,2006.0,BG795 BERGAMO STARS ATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
8.93,DOZIO Matteo,SM,1998.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
9.49,MAGGIONI Giacomo,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
8.52,GOHO DISEYSSON Junior T,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
8.84,BIANCHI Simone,PM,2004.0,BG003 ATL. BERGAMO 1959 ORIOCENTER,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
8.88,ALIPRANDI Luca,SM,2001.0,MI054 U.S. ATL. VEDANO,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
9.07,PARSANI Luca,SM,2001.0,BG036 ATL. SALETTI,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
7.83,TOGNI Matteo,JM,2006.0,BG795 BERGAMO STARS ATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
8.74,GOHO DISEYSSON Junior T,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
8.77,ALIPRANDI Luca,SM,2001.0,MI054 U.S. ATL. VEDANO,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
8.78,BIANCHI Simone,PM,2004.0,BG003 ATL. BERGAMO 1959 ORIOCENTER,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
8.85,DOZIO Matteo,SM,1998.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
9.14,PARSANI Luca,SM,2001.0,BG036 ATL. SALETTI,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
9.39,MAGGIONI Giacomo,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33677/Gara120.htm
8.2,BRESOLIN Manuel,PM,2004.0,TV354 TREVISATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.2,MULAS Oliver,PM,2004.0,IM029 ASD MAURINA OLIO CARLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.89,CELANI Michele,PM,2002.0,FI002 ATLETICA FIRENZE MARATHON S.S.,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
9.04,TESI Lorenzo,PM,2004.0,PO149 ASD ATLETICA PRATO,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.44,POUYE Mouhamed,PM,2003.0,MO052 A.S. LA FRATELLANZA 1874,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.76,GOBBI Alessandro,PM,2003.0,TN109 U.S. QUERCIA DAO CONAD,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
9.07,PANCALDI Emanuele,PM,2004.0,BO506 A.S.D. PONTEVECCHIO BOLOGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
9.4,ARTUSO Amos,PM,2004.0,VI614 GRUPPO ATLETICO BASSANO 1948,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.07,MULAS Oliver,PM,2004.0,IM029 ASD MAURINA OLIO CARLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.7,GOBBI Alessandro,PM,2003.0,TN109 U.S. QUERCIA DAO CONAD,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.72,BRESOLIN Manuel,PM,2004.0,TV354 TREVISATLETICA,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.78,CELANI Michele,PM,2002.0,FI002 ATLETICA FIRENZE MARATHON S.S.,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
9.05,TESI Lorenzo,PM,2004.0,PO149 ASD ATLETICA PRATO,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
9.06,PANCALDI Emanuele,PM,2004.0,BO506 A.S.D. PONTEVECCHIO BOLOGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
9.37,ARTUSO Amos,PM,2004.0,VI614 GRUPPO ATLETICO BASSANO 1948,60Hs H106,https://www.fidal.it/risultati/2024/REG33596/Gara420.htm
8.38,ADORNI Gabriele,PM,2002,LI035 ATL.LIBERTAS UNICUSANO LIVORNO,60Hs H106,https://www.fidal.it/risultati/2024/REG33859/Risultati/Gara120.html
8.89,ARCILASCO Flavio guido,PM,2004,TO226 SAFATLETICA PIEMONTE ASD,60Hs H106,https://www.fidal.it/risultati/2024/REG33859/Risultati/Gara120.html
8.94,NICOLA Riccardo,SM,1998,VC020 G.S. ERMENEGILDO ZEGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33859/Risultati/Gara120.html
8.4,ADORNI Gabriele,PM,2002,LI035 ATL.LIBERTAS UNICUSANO LIVORNO,60Hs H106,https://www.fidal.it/risultati/2024/REG33859/Risultati/Gara120.html
8.72,ARCILASCO Flavio guido,PM,2004,TO226 SAFATLETICA PIEMONTE ASD,60Hs H106,https://www.fidal.it/risultati/2024/REG33859/Risultati/Gara120.html
9.07,NICOLA Riccardo,SM,1998,VC020 G.S. ERMENEGILDO ZEGNA,60Hs H106,https://www.fidal.it/risultati/2024/REG33859/Risultati/Gara120.html
8.27,COREN Simone,PM,2003,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33871/Risultati/Gara420.html
8.36,DEL TORRE Riccardo,SM,1997,PN039 ATL BRUGNERA PN FRIULINTAGLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33871/Risultati/Gara420.html
8.57,ZAVARESCO Giulio,PM,2004,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33871/Risultati/Gara420.html
8.26,COREN Simone,PM,2003,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33871/Risultati/Gara420.html
8.35,DEL TORRE Riccardo,SM,1997,PN039 ATL BRUGNERA PN FRIULINTAGLI,60Hs H106,https://www.fidal.it/risultati/2024/REG33871/Risultati/Gara420.html
8.54,ZAVARESCO Giulio,PM,2004,UD030 ATLETICA MALIGNANI LIBERTAS UD,60Hs H106,https://www.fidal.it/risultati/2024/REG33871/Risultati/Gara420.html
8.21,PIAZZALUNGA Federico,SM,2000.0,BG003 ATL. BERGAMO 1959 ORIOCENTER,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
8.44,GOHO DISEYSSON Junior T,SM,2001.0,CO208 ATL. LECCO-COLOMBO COSTRUZ.,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
8.52,GNOCCHI Edoardo,SM,2001.0,VA123 CUS INSUBRIA VARESE COMO,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
8.86,GAVAZZENI Matteo,PM,2003.0,BG003 ATL. BERGAMO 1959 ORIOCENTER,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
8.86,BIANCHI Simone,PM,2004.0,BG003 ATL. BERGAMO 1959 ORIOCENTER,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
8.89,GATTINONI Matteo,PM,2002.0,BS575 ATL. VIRTUS CASTENEDOLO,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
8.18,PIAZZALUNGA Federico,SM,2000.0,BG003 ATL. BERGAMO 1959 ORIOCENTER,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
8.47,GNOCCHI Edoardo,SM,2001.0,VA123 CUS INSUBRIA VARESE COMO,60Hs H106,https://www.fidal.it/risultati/2024/REG33688/Gara120.htm
