Nome,Evento Generale,Warning Generale,Evento Specifico,Warning Specifico,Evento Specifico Vecchio
60 piani  DONNE,corsa piana,,60m,,60m
3000 metri  DONNE,corsa piana,,3000m,,3000m
60 Hs H 76  ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60 Hs H 84  DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 piani  UOMINI,corsa piana,,60m,,60m
3000 metri  UOMINI,corsa piana,,3000m,,3000m
60 Hs H 91  ALLIEVI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60 Hs H 100  JUNIOR UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H 106  UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 piani UOMINI,corsa piana,,60m,,60m
400 metri UOMINI,corsa piana,,400m,,400m
1000 metri UOMINI,corsa piana,,1000m,,1000m
60 piani DONNE,corsa piana,,60m,,60m
400 metri DONNE,corsa piana,,400m,,400m
1000 metri DONNE,corsa piana,,1000m,,1000m
60 Hs H 91-9.14 PENTATHLON INDOOR AM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
1000 metri PENTATHLON INDOOR AM,corsa piana,,1000m,,1000m
Salto in lungo/LJ UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ DONNE,alto,,Salto in alto,,Salto triplo
Salto in lungo/LJ PENTATHLON INDOOR AM,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ PENTATHLON INDOOR AM,alto,,Salto in alto,,Salto in alto
60 piani CADETTI,corsa piana,,60m,,60m
600 metri CADETTI,corsa piana,,600m,,600m
60 piani CADETTE,corsa piana,,60m,,60m
600 metri CADETTE,corsa piana,,600m,,600m
60 piani RAGAZZI,corsa piana,,60m,,60m
60 piani RAGAZZE,corsa piana,,60m,,60m
600 metri RAGAZZE,corsa piana,,600m,,600m
Salto triplo/TJ CADETTI,alto,,Salto in alto,,Salto triplo
Salto triplo/TJ CADETTE,alto,,Salto in alto,,Salto triplo
Salto in lungo/LJ RAGAZZI,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ RAGAZZE,lungo,,Salto in lungo,,Salto in lungo
200 metri UOMINI,corsa piana,,200m,,200m
800 metri UOMINI,corsa piana,,800m,,800m
60 Hs H 106 UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs H 100 JUNIORES UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H 91-9.14 ALLIEVI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
200 metri DONNE,corsa piana,,200m,,200m
800 metri DONNE,corsa piana,,800m,,800m
60 piani EPTATHLON UOMINI,corsa piana,,60m,,60m
60 Hs H 106 EPTATHLON UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
1000 metri EPTATHLON UOMINI,corsa piana,,1000m,,1000m
60 piani EPTATHLON JUNIORES UOMINI,corsa piana,,60m,,60m
60 Hs H 100 EPTATHLON JUNIORES UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
1000 metri EPTATHLON JUNIORES UOMINI,corsa piana,,1000m,,1000m
60 Hs H 84-8.50 PENTATHLON DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
800 metri PENTATHLON DONNE,corsa piana,,800m,,800m
60 Hs H 76-8.50 PENTATHLON ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
400 metri PENTATHLON ALLIEVE,corsa piana,,400m,,400m
Salto in alto/HJ UOMINI,alto,,Salto in alto,,Salto in alto
Salto triplo/TJ UOMINI,alto,,Salto in alto,,Salto triplo
Salto in alto/HJ DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ EPTATHLON UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ EPTATHLON UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV EPTATHLON UOMINI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ EPTATHLON JUNIORES M,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ EPTATHLON JUNIORES JM,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV EPTATHLON JUNIORES M,asta,,Salto con l'asta,,Salto con l’asta
Salto in alto/HJ PENTATHLON DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ PENTATHLON DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ PENTATHLON ALLIEVE,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ PENTATHLON ALLIEVE,lungo,,Salto in lungo,,Salto in lungo
60 Hs H 84-8.50 DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 76-8.50 ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
Salto con l'asta/PV UOMINI,asta,,Salto con l'asta,,Salto con l’asta
1500 metri UOMINI,corsa piana,,1500m,,1500m
1500 metri DONNE,corsa piana,,1500m,,1500m
60 piani EPTATHLON JUNIOR UOMINI,corsa piana,,60m,,60m
60 Hs H 100 EPTATHLON JUNIOR UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
1000 metri EPTATHLON JUNIOR UOMINI,corsa piana,,1000m,,1000m
60 Hs H 84 PENTATHLON DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 76 PENTATHLON ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60 Hs H 91 PENTATHLON ALLIEVI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
1000 metri PENTATHLON ALLIEVI,corsa piana,,1000m,,1000m
Salto in lungo EPTATHLON UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto EPTATHLON UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta EPTATHLON UOMINI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo EPTATHLON JUNIOR UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto EPTATHLON JUNIOR UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta EPTATHLON JUNIOR UOMINI,asta,,Salto con l'asta,,Salto con l’asta
Salto in alto PENTATHLON DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo PENTATHLON DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto in alto PENTATHLON ALLIEVE,alto,,Salto in alto,,Salto in alto
Salto in lungo PENTATHLON ALLIEVE,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo PENTATHLON ALLIEVI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto PENTATHLON ALLIEVI,alto,,Salto in alto,,Salto in alto
Salto in alto DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto triplo DONNE,alto,,Salto in alto,,Salto triplo
Salto in alto UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta UOMINI - Gruppo 2,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto triplo UOMINI,alto,,Salto in alto,,Salto triplo
Salto con l'asta UOMINI - Gruppo 1,asta,,Salto con l'asta,,Salto con l’asta
400 metri PENTATHLON AF,corsa piana,,400m,,400m
60 Hs H 76-8.50 PENTATHLON AF,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
1000 metri PENTATHLON AM,corsa piana,,1000m,,1000m
60 Hs H 91-9.14 PENTATHLON AM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
800 metri PENTATHLON JPS F.,corsa piana,,800m,,800m
60 Hs H 84-8.50 PENTATHLON JPS F.,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 piani EPTATHLON JM,corsa piana,,60m,,60m
1000 metri EPTATHLON JM,corsa piana,,1000m,,1000m
60 Hs H 100 EPTATHLON JM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 piani EPTATHLOM P/S M.,corsa piana,,60m,,60m
1000 metri EPTATHLON PS M.,corsa piana,,1000m,,1000m
60 Hs H 106 EPTATHLON PS M.,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
50 metri A/J/P/S MASCHILI,corsa piana,,50m,,50m
50 Hs H91 ALLIEVI,ostacoli,,50 Hs,non conosco l'altezza,60 Hs h91-9.14
50 Hs H100 JM,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h100-9.14
50 metri A/J/P/S FEMMINILI,corsa piana,,50m,,50m
50 Hs H76 ALLIEVE,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h76-8.50
50 Hs H84 J/P/S FEMMINILI,ostacoli,,50 Hs,non conosco l'altezza,40 Hs h84-8.50
50 Hs H106 P/S MASCHILI,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h106-9.14
Salto in alto/HJ PENTATHLON AF,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ PENTATHLON AF,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ PENTATHLON AM,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ PENTATHLON AM,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ PENTATHLON JPS F.,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ PENTATHLON JPS F.,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ EPTATHLON JM,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV EPTATHLON JM,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ EPTATHLON JM,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ EPTATHLON PS M.,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV EPTATHLON PS M.,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ EPTATHLON PS M.,lungo,,Salto in lungo,,Salto in lungo
1000 metri CADETTI,corsa piana,,1000m,,1000m
60 Hs H 84-8.50 CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
1000 metri CADETTE,corsa piana,,1000m,,1000m
60 Hs H 76-8.00 CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
600 metri RAGAZZI,corsa piana,,600m,,600m
60 Hs H 60 RAGAZZI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 Hs H 60 RAGAZZE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 Hs H 84-8.50 TETRATHLON CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
1000 metri TETRATHLON CADETTI,corsa piana,,1000m,,1000m
60 Hs H 76-8.00 TETRATHLON CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
400 metri TETRATHLON CADETTE,corsa piana,,400m,,400m
Salto in lungo/LJ SM35+,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ CADETTI,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV CADETTI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ CADETTI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ CADETTE,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV CADETTE,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ CADETTE,lungo,,Salto in lungo,,Salto in lungo
Salto in alto/HJ TETRATHLON CADETTI,alto,,Salto in alto,,Salto in alto
Salto in alto/HJ TETRATHLON CADETTE,alto,,Salto in alto,,Salto in alto
Salto in alto/HJ MASCHILE,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV MASCHILE,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ MASCHILE,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ MASCHILE,alto,,Salto in alto,,Salto triplo
Salto in alto/HJ FEMMINILE,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV FEMMINILE,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ FEMMINILE,lungo,,Salto in lungo,,Salto in lungo
Salto triplo/TJ FEMMINILE,alto,,Salto in alto,,Salto triplo
60 piani ALLIEVI,corsa piana,,60m,,60m
60 piani ALLIEVE,corsa piana,,60m,,60m
60 piani J/P/S UOMINI,corsa piana,,60m,,60m
60 Hs H 106 P/S UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs H 100 JUNIOR UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 piani J/P/S DONNE,corsa piana,,60m,,60m
60 Hs H 84-8.50 J/P/S DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto ALLIEVI,alto,,Salto in alto,,Salto in alto
Salto con l'asta ALLIEVI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo ALLIEVI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto ALLIEVE,alto,,Salto in alto,,Salto in alto
Salto con l'asta ALLIEVE,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo ALLIEVE,lungo,,Salto in lungo,,Salto in lungo
Salto in alto J/P/S UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta J/P/S UOMINI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo J/P/S UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto J/P/S DONNE,alto,,Salto in alto,,Salto in alto
Salto con l'asta J/P/S DONNE,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo J/P/S DONNE,lungo,,Salto in lungo,,Salto in lungo
Marcia 3000m  DONNE,marcia,,Marcia 3000m,,Marcia 3000m
Marcia 5000m  UOMINI,marcia,,Marcia 5000m,,Marcia 5000m
Salto con l'asta  DONNE - Gruppo 1,asta,,Salto con l'asta,,Salto con l’asta
Salto con l'asta  DONNE - Gruppo 2,asta,,Salto con l'asta,,Salto con l’asta
3000 metri UOMINI,corsa piana,,3000m,,3000m
3000 metri DONNE,corsa piana,,3000m,,3000m
1500 metri  DONNE,corsa piana,,1500m,,1500m
Staffetta 4x1giro  DONNE,staffetta,,4x200m,,4x200m
1500 metri  UOMINI,corsa piana,,1500m,,1500m
Staffetta 4x1giro  UOMINI,staffetta,,4x200m,,4x200m
200 metri CADETTI,corsa piana,,200m,,200m
200 metri CADETTE,corsa piana,,200m,,200m
200 metri RAGAZZI,corsa piana,,200m,,200m
200 metri RAGAZZE,corsa piana,,200m,,200m
60 piani JUNIORES MASCHI,corsa piana,,60m,,60m
60 piani JUNIORES FEMMINE,corsa piana,,60m,,60m
60 Hs H 84-8.50 JUNIORES FEMMINE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 piani PRO/SEN UOMINI,corsa piana,,60m,,60m
60 Hs H 106 PRO/SEN UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 piani PRO/SEN DONNE,corsa piana,,60m,,60m
60 Hs H 84-8.50 PRO/SEN DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto triplo ALLIEVI,alto,,Salto in alto,,Salto triplo
Salto triplo ALLIEVE,alto,,Salto in alto,,Salto triplo
Salto in alto JUNIORES M,alto,,Salto in alto,,Salto in alto
Salto con l'asta JUNIORES M,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo JUNIORES M,lungo,,Salto in lungo,,Salto in lungo
Salto triplo JUNIORES M,alto,,Salto in alto,,Salto triplo
Salto in alto JUNIORES F,alto,,Salto in alto,,Salto in alto
Salto in lungo JUNIORES F,lungo,,Salto in lungo,,Salto in lungo
Salto con l'asta PRO/SEN UOMINI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo PRO/SEN UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto triplo PRO/SEN UOMINI,alto,,Salto in alto,,Salto triplo
Salto in alto PRO/SEN DONNE,alto,,Salto in alto,,Salto in alto
Salto con l'asta PRO/SEN DONNE,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo PRO/SEN DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto triplo PRO/SEN DONNE,alto,,Salto in alto,,Salto triplo
Salto in alto CADETTI,alto,,Salto in alto,,Salto in alto
Salto in lungo CADETTI,lungo,,Salto in lungo,,Salto in lungo
Salto triplo CADETTI,alto,,Salto in alto,,Salto triplo
Salto in alto CADETTE,alto,,Salto in alto,,Salto in alto
Salto in lungo CADETTE,lungo,,Salto in lungo,,Salto in lungo
Salto triplo CADETTE,alto,,Salto in alto,,Salto triplo
Marcia 5000m UOMINI,marcia,,Marcia 5000m,,Marcia 5000m
Marcia 3000m DONNE,marcia,,Marcia 3000m,,Marcia 3000m
Marcia 3000m CADETTI,marcia,,Marcia 3000m,,Marcia 3000m
Marcia 3000m CADETTE,marcia,,Marcia 3000m,,Marcia 3000m
Marcia 2000m RAGAZZI,marcia,,Marcia 2000m,,Marcia 2000m
Marcia 2000m RAGAZZE,marcia,,Marcia 2000m,,Marcia 2000m
Marcia 1000m ESORDIENTI F A+B,marcia,,Marcia 1000m,,Marcia 1000m
Marcia 1000m ESORDIENTI M A+B,marcia,,Marcia 1000m,,Marcia 1000m
Salto in alto/HJ RAGAZZI,alto,,Salto in alto,,Salto in alto
Salto in alto/HJ RAGAZZE,alto,,Salto in alto,,Salto in alto
Salto in lungo/LJ    CADETTE,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ  CADETTI,lungo,,Salto in lungo,,Salto in lungo
200 metri  SENIOR MASTER DONNE,corsa piana,,200m,,200m
800 metri  SENIOR MASTER DONNE,corsa piana,,800m,,800m
3000 metri  SENIOR MASTER DONNE,corsa piana,,3000m,,3000m
Marcia 3000m  SENIOR MASTER DONNE,marcia,,Marcia 3000m,,Marcia 3000m
Staffetta 4x1giro  SENIOR MASTER DONNE,staffetta,,4x200m,,4x200m
200 metri  SENIOR MASTER UOMINI,corsa piana,,200m,,200m
800 metri  SENIOR MASTER UOMINI,corsa piana,,800m,,800m
3000 metri  SENIOR MASTER UOMINI,corsa piana,,3000m,,3000m
Marcia 3000m  SENIOR MASTER UOMINI,marcia,,Marcia 3000m,,Marcia 3000m
Staffetta 4x1giro  SENIOR MASTER UOMINI,staffetta,,4x200m,,4x200m
Salto con l'asta  SENIOR MASTER DONNE,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo  SENIOR MASTER DONNE,alto,,Salto in alto,,Salto triplo
Salto in alto  SENIOR MASTER UOMINI,alto,,Salto in alto,,Salto in alto
Salto triplo  SENIOR MASTER UOMINI,alto,,Salto in alto,,Salto triplo
Staffetta 4x200 CADETTI,staffetta,,4x200m,,4x200m
Staffetta 4x200 CADETTE,staffetta,,4x200m,,4x200m
Staffetta 4x200 RAGAZZI,staffetta,,4x200m,,4x200m
Staffetta 4x200 RAGAZZE,staffetta,,4x200m,,4x200m
Staffetta 4x200 UOMINI,staffetta,,4x200m,,4x200m
Staffetta 4x200 DONNE,staffetta,,4x200m,,4x200m
60 piani AJPS M,corsa piana,,60m,,60m
60 Hs H 106 JPS M,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs H 91-9.14 AM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60 Hs H 100 JM,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H 91-8.50 SM50,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
60 piani AJPS F,corsa piana,,60m,,60m
60 Hs H 84-8.50 JPS F,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 76-8.50 AF,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
Salto con l'asta/PV DONNE,asta,,Salto con l'asta,,Salto con l’asta
1000 metri DONNE AD INVITO,corsa piana,,1000m,,1000m
Salto in lungo/LJ     A/J/P/S M,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo/LJ  A/J/P/S F,lungo,,Salto in lungo,,Salto in lungo
400 metri  EXTRA DONNE,corsa piana,,400m,,400m
1500 metri  EXTRA DONNE,corsa piana,,1500m,,1500m
400 metri  EXTRA UOMINI,corsa piana,,400m,,400m
1500 metri  EXTRA UOMINI,corsa piana,,1500m,,1500m
Salto triplo  EXTRA DONNE,alto,,Salto in alto,,Salto triplo
Staffetta 4X2 GIRI UOMINI,staffetta,,4x400m,,4x400m
60 piani J/P/S M,corsa piana,,60m,,60m
60 Hs H 106  J/P/S M,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs H 91-8.50  SM50-55,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
60 Hs H 100 Junior M,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 piani  ALLIEVI,corsa piana,,60m,,60m
60 Hs H 91-9.14  ALLIEVI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60 piani  CADETTI,corsa piana,,60m,,60m
60 Hs H 84-8.50  CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 piani  J/P/S  F,corsa piana,,60m,,60m
60 Hs H 84-8.50   J/P/S  F,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 piani  ALLIEVE,corsa piana,,60m,,60m
60 Hs H 76-8.50  ALLIEVE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60 piani  CADETTE,corsa piana,,60m,,60m
60 Hs H 76-8.00  CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
200 metri  DONNE,corsa piana,,200m,,200m
800 metri  DONNE,corsa piana,,800m,,800m
200 metri  UOMINI,corsa piana,,200m,,200m
800 metri  UOMINI,corsa piana,,800m,,800m
Salto in lungo  DONNE (gruppo 1),lungo,,Salto in lungo,,Salto in lungo
Salto in lungo  DONNE (gruppo 2),lungo,,Salto in lungo,,Salto in lungo
Salto in alto  ALLIEVI,alto,,Salto in alto,,Salto in alto
Salto in alto  UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta  ALLIEVI,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo  UOMINI,alto,,Salto in alto,,Salto triplo
60m Juniores Uomini,corsa piana,,60m,,60m
200m Juniores Uomini,corsa piana,,200m,,200m
400m Juniores Uomini,corsa piana,,400m,,400m
800m Juniores Uomini,corsa piana,,800m,,800m
1500m Juniores Uomini,corsa piana,,1500m,,1500m
60 Hs Juniores Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
Marcia 5000m Juniores Uomini,marcia,,Marcia 5000m,,Marcia 5000m
4x1 giro Juniores Uomini,staffetta,,4x200m,,4x200m
60m Promesse Uomini,corsa piana,,60m,,60m
400m Promesse Uomini,corsa piana,,400m,,400m
800m Promesse Uomini,corsa piana,,800m,,800m
1500m Promesse Uomini,corsa piana,,1500m,,1500m
3000m Promesse Uomini,corsa piana,,3000m,,3000m
60 Hs Promesse Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
Marcia 5000m Promesse Uomini,marcia,,Marcia 5000m,,Marcia 5000m
4x1 giro Promesse Uomini,staffetta,,4x200m,,4x200m
60m Juniores Donne,corsa piana,,60m,,60m
200m Juniores Donne,corsa piana,,200m,,200m
400m Juniores Donne,corsa piana,,400m,,400m
800m Juniores Donne,corsa piana,,800m,,800m
1500m Juniores Donne,corsa piana,,1500m,,1500m
60 Hs Juniores Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Marcia 3000m Juniores Donne,marcia,,Marcia 3000m,,Marcia 3000m
4x1 giro Juniores Donne,staffetta,,4x200m,,4x200m
60m Promesse Donne,corsa piana,,60m,,60m
400m Promesse Donne,corsa piana,,400m,,400m
800m Promesse Donne,corsa piana,,800m,,800m
1500m Promesse Donne,corsa piana,,1500m,,1500m
3000m Promesse Donne,corsa piana,,3000m,,3000m
60 Hs Promesse Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Marcia 3000m Promesse Donne,marcia,,Marcia 3000m,,Marcia 3000m
4x1 giro Promesse Donne,staffetta,,4x200m,,4x200m
Salto in alto Juniores Uomini,alto,,Salto in alto,,Salto in alto
Salto con l'asta Juniores Uomini,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo Juniores Uomini,lungo,,Salto in lungo,,Salto in lungo
Salto triplo Juniores Uomini,alto,,Salto in alto,,Salto triplo
Salto in alto Promesse Uomini,alto,,Salto in alto,,Salto in alto
Salto con l'asta Promesse Uomini,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo Promesse Uomini,lungo,,Salto in lungo,,Salto in lungo
Salto triplo Promesse Uomini,alto,,Salto in alto,,Salto triplo
Salto in alto Juniores Donne,alto,,Salto in alto,,Salto in alto
Salto con l'asta Juniores Donne,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo Juniores Donne,lungo,,Salto in lungo,,Salto in lungo
Salto triplo Juniores Donne,alto,,Salto in alto,,Salto triplo
Salto in alto Promesse Donne,alto,,Salto in alto,,Salto in alto
Salto con l'asta Promesse Donne,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo Promesse Donne,lungo,,Salto in lungo,,Salto in lungo
Salto triplo Promesse Donne,alto,,Salto in alto,,Salto triplo
400 metri UOMINI AD INVITO,corsa piana,,400m,,400m
400 metri DONNE AD INVITO,corsa piana,,400m,,400m
60 Hs PENTATHLON Master UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
1000 metri PENTATHLON Master UOMINI,corsa piana,,1000m,,1000m
60 piani  MASTER DONNE,corsa piana,,60m,,60m
400 metri  MASTER DONNE,corsa piana,,400m,,400m
1500 metri  MASTER DONNE,corsa piana,,1500m,,1500m
60 Hs  MASTER DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
60 piani  MASTER UOMINI,corsa piana,,60m,,60m
400 metri  MASTER UOMINI,corsa piana,,400m,,400m
1500 metri  MASTER UOMINI,corsa piana,,1500m,,1500m
60 Hs  MASTER UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
Salto in lungo PENTATHLON Master UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto in alto PENTATHLON Master UOMINI,alto,,Salto in alto,,Salto in alto
Salto in alto  MASTER DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo  MASTER DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto con l'asta  MASTER UOMINI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo  MASTER UOMINI,lungo,,Salto in lungo,,Salto in lungo
60 Hs H 84-8.50 TRIATHLON CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 76-8.00 TRIATHLON CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
Salto in alto TRIATHLON CADETTI,alto,,Salto in alto,,Salto in alto
Salto in lungo TRIATHLON CADETTI,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo TRIATHLON CADETTE,lungo,,Salto in lungo,,Salto in lungo
400 metri  DONNE,corsa piana,,400m,,400m
Staffetta 4X2giri  DONNE,staffetta,,4x400m,,4x400m
400 metri  UOMINI,corsa piana,,400m,,400m
Staffetta 4X2giri  UOMINI,staffetta,,4x400m,,4x400m
Salto in alto  DONNE,alto,,Salto in alto,,Salto in alto
Salto triplo  DONNE,alto,,Salto in alto,,Salto triplo
